2026-05-01T22:57:51.018148179Z 
2026-05-01T22:57:51.018175488Z PostgreSQL Database directory appears to contain a database; Skipping initialization
2026-05-01T22:57:51.018179498Z 
2026-05-01T22:57:51.103084931Z LOG:  database system was shut down at 2026-05-01 22:57:06 UTC
2026-08-12T16:16:23.108961409Z 	                                   FOR UPDATE NOWAIT
2026-08-16T05:46:48.430350581Z ERROR:  could not obtain lock on row in relation "ir_cron"
2026-08-16T05:46:48.430721066Z STATEMENT:  SELECT *
2026-08-16T05:46:48.430736817Z 	                                   FROM ir_cron
2026-08-16T05:46:48.430743840Z 	                                   WHERE numbercall != 0
2026-08-16T05:46:48.430749360Z 	                                      AND active
2026-08-16T05:46:48.430754760Z 	                                      AND nextcall <= (now() at time zone 'UTC')
2026-08-16T05:46:48.430760612Z 	                                      AND id=1
2026-08-16T05:46:48.430765881Z 	                                   FOR UPDATE NOWAIT
2026-09-09T03:47:21.307319666Z ERROR:  could not obtain lock on row in relation "ir_cron"
2026-09-09T03:47:21.307834966Z STATEMENT:  SELECT *
2026-09-09T03:47:21.307848862Z 	                                   FROM ir_cron
2026-09-09T03:47:21.307855836Z 	                                   WHERE numbercall != 0
2026-09-09T03:47:21.307861677Z 	                                      AND active
2026-09-09T03:47:21.307867959Z 	                                      AND nextcall <= (now() at time zone 'UTC')
2026-09-09T03:47:21.307874050Z 	                                      AND id=1
2026-09-09T03:47:21.307879862Z 	                                   FOR UPDATE NOWAIT
2026-09-17T02:13:35.688878149Z ERROR:  syntax error at or near "\" at character 180
2026-09-17T02:13:35.689001133Z STATEMENT:  select current_database(), p.proname, l.lanname, p.probin from pg_proc p join pg_language l on l.oid=p.prolang join pg_namespace n on n.oid=p.pronamespace where n.nspname not in (\x27pg_catalog\x27,\x27information_schema\x27) and l.lanname not in (\x27sql\x27,\x27plpgsql\x27)
2026-09-17T02:13:36.036041768Z ERROR:  syntax error at or near "\" at character 180
2026-09-17T02:13:36.036088016Z STATEMENT:  select current_database(), p.proname, l.lanname, p.probin from pg_proc p join pg_language l on l.oid=p.prolang join pg_namespace n on n.oid=p.pronamespace where n.nspname not in (\x27pg_catalog\x27,\x27information_schema\x27) and l.lanname not in (\x27sql\x27,\x27plpgsql\x27)
2026-09-17T02:13:36.375069119Z ERROR:  syntax error at or near "\" at character 180
2026-09-17T02:13:36.375098565Z STATEMENT:  select current_database(), p.proname, l.lanname, p.probin from pg_proc p join pg_language l on l.oid=p.prolang join pg_namespace n on n.oid=p.pronamespace where n.nspname not in (\x27pg_catalog\x27,\x27information_schema\x27) and l.lanname not in (\x27sql\x27,\x27plpgsql\x27)
2026-09-17T02:15:08.249180593Z ERROR:  column "waiting" does not exist at character 30
2026-09-17T02:15:08.249241369Z STATEMENT:  select pid,state,query_start,waiting,now()-query_start from pg_stat_activity where datname=current_database() and pid<>pg_backend_pid() order by query_start limit 5
